panda_id,name,gender,born_china_true,death_china_true,birth_year,death_year,loan_start,loan_end,loan_zoo,loan_zoo_id,sources
28,Pyry,m,1,0,2014,,2018,2024,Ähtäri Zoo,7,https://www.npr.org/2024/09/26/g-s1-24620/a-zoo-in-finland-is-returning-pandas-to-china-because-theyre-too-expensive-to-keep
32,Lumi,f,1,0,2015,,2018,2024,Ähtäri Zoo,7,https://www.npr.org/2024/09/26/g-s1-24620/a-zoo-in-finland-is-returning-pandas-to-china-because-theyre-too-expensive-to-keep
4,Bao Bao,m,1,0,1978,2012,1980,2012,Berlin Zoo,1,"https://www.zoo-berlin.de/en/artenschutz/weltweit/giant-panda, https://www.bbc.com/news/world-asia-pacific-19346997"
5,Tjen Tjen,f,1,0,1980,1984,1980,1984,Berlin Zoo,1,https://www.upi.com/Archives/1984/02/09/Hundreds-of-panda-lovers-mourn-death-of-Tjen-Tjen/2736445150800/
7,Yan Yan,f,1,0,1985,2007,1995,2007,Berlin Zoo,1,https://www.zoo-berlin.de/en/news/zoo-news/detail/yan-yan-flies-back-home
20,Jiao Qing,m,1,0,2010,,2017,,Berlin Zoo,1,http://www.pandahome.org/en/News/PNews/2018-12-03/6239.html
24,Meng Meng,f,1,0,2013,,2017,,Berlin Zoo,1,http://www.pandahome.org/en/News/PNews/2018-12-03/6239.html
37,Pit,m,0,0,2019,,2019,,Berlin Zoo,1,https://www.zoo-berlin.de/en/artenschutz/weltweit/giant-panda
38,Paule,m,0,0,2019,,2019,,Berlin Zoo,1,https://www.zoo-berlin.de/en/artenschutz/weltweit/giant-panda
27,Xing Er,m,1,0,2013,,2019,,Copenhagen Zoo,9,http://www.pandahome.org/en/News/FNews/2019-08-01/6540.html
29,Mao Sun,f,1,0,2014,,2019,,Copenhagen Zoo,9,http://www.pandahome.org/en/News/FNews/2019-08-01/6540.html
12,Yang Guang,m,1,0,2003,,2011,2023,Edinburgh Zoo,5,https://www.reuters.com/world/uk/britain-bids-farewell-its-only-giant-pandas-after-12-years-2023-11-29/
13,Tian Tian,f,1,0,2003,,2011,2023,Edinburgh Zoo,5,https://www.heraldscotland.com/news/23966307.edinburgh-zoo-pandas-story-scotlands-giant-pandas/
